"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"161",388,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","14",33000000,1454545.45456,"２ＬＤＫ","75",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第２四半期","未改<U+88C5>",NA,1988,2013,7,1454521.62516
"162",390,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","14",32000000,1627463.44566154,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,2013,6,1627443.02046154
"163",391,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","13",30000000,1525746.98030769,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第３四半期","未改<U+88C5>",NA,1988,2010,8,1525719.74670769
"164",392,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","19",20000000,1101928.37466667,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","11","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第２四半期","改<U+88C5><U+6E08>",NA,1988,1999,19,1101863.69486667
"165",393,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","7",26000000,1322314.0496,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","23","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第４四半期","未改<U+88C5>",NA,1988,2011,6,1322293.6244
"166",397,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","20",22000000,1118881.11889231,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","23","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第２四半期","改<U+88C5><U+6E08>",NA,1988,2011,5,1118864.09789231
"167",400,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","<U+5965>武山公園","4",25000000,1033057.85125,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第１四半期","改<U+88C5><U+6E08>",NA,1988,1997,19,1032993.17145
"168",402,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","小<U+7984>","14",31000000,1366391.18458667,"２ＬＤＫ","75",NA,NA,NA,NA,"平成","21","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第４四半期","未改<U+88C5>",NA,1988,2009,11,1366353.73838667
"169",405,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>","小<U+7984>","12",27000000,1275088.54782857,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","21","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第３四半期","未改<U+88C5>",NA,1988,2009,8,1275061.31422857
"170",411,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字小<U+7984>",NA,NA,31000000,1576605.21298462,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第１四半期","未改<U+88C5>",NA,1988,2013,5,1576588.19198462
"171",414,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","<U+5965>武山公園","13",37000000,1528925.61985,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第１四半期","改<U+88C5><U+6E08>",NA,1988,2006,14,1528877.96105
"172",419,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","<U+5965>武山公園","13",29000000,1278236.91461333,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2018","第３四半期","未改<U+88C5>",NA,1988,2007,11,1278199.46841333
"173",422,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","<U+5965>武山公園","14",17000000,802833.530114286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1988,1997,20,802765.446114286
"174",423,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","<U+5965>武山公園","15",18000000,661157.0248,"４ＬＤＫ","90",NA,NA,NA,NA,"平成","4","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第４四半期","改<U+88C5><U+6E08>",NA,1988,1992,24,661075.324
"175",424,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","小<U+7984>","18",30000000,1416765.05314286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","15","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2020","第４四半期","未改<U+88C5>",NA,1988,2003,17,1416707.18174286
"176",425,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","小<U+7984>","18",25000000,1180637.54428571,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","17","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2020","第１四半期","未改<U+88C5>",NA,1988,2005,15,1180586.48128571
"177",427,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","小<U+7984>","13",35000000,1542699.72453333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第３四半期","未改<U+88C5>",NA,1988,2006,13,1542655.46993333
"178",428,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","小<U+7984>","15",24000000,1220597.58424615,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","12","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2019","第２四半期","改<U+88C5><U+6E08>",NA,1988,2000,19,1220532.90444615
"179",429,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>","小<U+7984>","12",32000000,1244530.87021176,NA,"85",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第４四半期",NA,NA,1988,2006,12,1244490.01981176
"180",431,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,17000000,936639.118466667,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","4","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第３四半期","改<U+88C5><U+6E08>",NA,1988,1992,28,936543.800866667
"181",432,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,28000000,1424030.51495385,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第３四半期","未改<U+88C5>",NA,1988,2007,13,1423986.26035385
"182",434,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,36000000,1700118.06377143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","28","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,2016,3,1700107.85117143
"183",436,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,24000000,1133412.04251429,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","4","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第３四半期","改<U+88C5><U+6E08>",NA,1988,1992,27,1133320.12911429
"184",438,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,25000000,1271455.81692308,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","17","ＳＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2018","第４四半期","未改<U+88C5>",NA,1988,2005,13,1271411.56232308
"185",440,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,32000000,1511216.05668571,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第３四半期","未改<U+88C5>",NA,1988,2006,12,1511175.20628571
"186",441,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,19000000,1141998.49738182,"３ＤＫ","55",NA,NA,NA,NA,"平成","13","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2018","第２四半期","未改<U+88C5>",NA,1988,2001,17,1141940.62598182
"187",446,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","小<U+7984>",NA,NA,14000000,925619.83472,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","4","ＲＣ","住宅","住宅",NA,NA,NA,NA,NA,NA,"2017","第１四半期","未改<U+88C5>",NA,1988,1992,25,925534.72972
"188",473,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","金城","小<U+7984>","5",39000000,1516771.99807059,"４ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2018","第１四半期","未改<U+88C5>",NA,1988,2006,12,1516731.14767059
"189",475,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","金城","小<U+7984>","6",30000000,1416765.05314286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1988,2006,11,1416727.60694286
"190",476,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","金城","小<U+7984>","6",34000000,1498622.58954667,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2016","第４四半期","改<U+88C5><U+6E08>",NA,1988,2006,10,1498588.54754667
"191",477,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","金城","小<U+7984>","6",31000000,1463990.55491429,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,2006,10,1463956.51291429
"192",531,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","具志",NA,NA,26000000,1146005.50965333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","13","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2018","第４四半期","改<U+88C5><U+6E08>",NA,1988,2001,17,1145947.63825333
"193",535,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米","旭橋","5",23000000,1086186.54074286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"商業地域",80,400,"2020","第４四半期","未改<U+88C5>",NA,1988,1997,23,1086108.24414286
"194",539,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米","旭橋","10",27000000,1275088.54782857,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2018","第４四半期","未改<U+88C5>",NA,1988,1997,21,1275017.05962857
"195",545,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米","旭橋","9",16000000,881542.699733333,"２ＤＫ","60",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第２四半期","未改<U+88C5>",NA,1988,1997,19,881478.019933333
"196",547,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米","<U+770C><U+5E81>前(沖<U+7E04>)","9",19000000,1141998.49738182,"２ＤＫ","55",NA,NA,NA,NA,"平成","9","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2020","第４四半期","未改<U+88C5>",NA,1988,1997,23,1141920.20078182
"197",550,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米","<U+770C><U+5E81>前(沖<U+7E04>)","9",30000000,1416765.05314286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","9","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第２四半期","改<U+88C5><U+6E08>",NA,1988,1997,22,1416690.16074286
"198",551,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米","<U+770C><U+5E81>前(沖<U+7E04>)","9",31000000,1463990.55491429,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","9","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第１四半期","改<U+88C5><U+6E08>",NA,1988,1997,22,1463915.66251429
"199",553,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久米",NA,NA,20000000,1101928.37466667,"２ＬＤＫ","60",NA,NA,NA,NA,"平成","2","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第３四半期","改<U+88C5><U+6E08>",NA,1988,1990,29,1101829.65286667
"200",557,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久茂地","<U+770C><U+5E81>前(沖<U+7E04>)","3",36000000,2644628.0992,"１ＬＤＫ","45",NA,NA,NA,NA,"平成","31","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2020","第４四半期","未改<U+88C5>",NA,1988,2019,1,2644624.695
"201",558,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久茂地","<U+770C><U+5E81>前(沖<U+7E04>)","3",33000000,2727272.7273,"１ＬＤＫ","40",NA,NA,NA,NA,"平成","31","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2020","第４四半期",NA,NA,1988,2019,1,2727269.3231
"202",574,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久茂地","美<U+6804>橋","4",14000000,1028466.48302222,"１ＬＤＫ","45",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,600,"2018","第４四半期","改<U+88C5><U+6E08>",NA,1925,1985,33,1028354.14442222
"203",575,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久茂地","美<U+6804>橋","3",17000000,1123966.94216,"２ＤＫ","50",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,600,"2018","第１四半期","改<U+88C5><U+6E08>",NA,1925,1985,33,1123854.60356
"204",577,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","久茂地","美<U+6804>橋","4",8000000,528925.61984,"２ＬＤＫ","50",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,600,"2016","第１四半期",NA,NA,1925,1985,31,528820.08964
"205",579,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字<U+56FD>場","安里","30分?60分",18000000,991735.5372,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","6","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,100,"2020","第２四半期","未改<U+88C5>",NA,1988,1994,26,991647.028
"206",582,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字<U+56FD>場","安里","29",17000000,749311.294773333,"２ＬＤＫ","75",NA,NA,NA,NA,"平成","4","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第１四半期","改<U+88C5><U+6E08>",NA,1988,1992,28,749215.977173333
"207",593,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字<U+56FD>場","安里","30分?60分",13000000,716253.443533333,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","6","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,100,"2016","第４四半期","未改<U+88C5>",NA,1988,1994,22,716178.551133333
"208",601,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字<U+56FD>場","壺川","30分?60分",24000000,1220597.58424615,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","8","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第１四半期","未改<U+88C5>",NA,1988,1996,23,1220519.28764615
"209",604,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字<U+56FD>場","壺川","29",18000000,915448.188184615,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","8","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第１四半期","改<U+88C5><U+6E08>",NA,1988,1996,22,915373.295784615
"210",622,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","6",33000000,1363636.36365,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"準住居地域",60,200,"2020","第４四半期","未改<U+88C5>",NA,1988,2007,13,1363592.10905
"211",625,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","6",35000000,1542699.72453333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"準住居地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,2007,12,1542658.87413333
"212",626,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","25",12000000,610298.792123077,"３ＬＤＫ","65",NA,NA,NA,NA,"昭和","61","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1925,1986,33,610186.453523077
"213",636,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","13",14000000,841472.577018182,"２ＬＤＫ","55",NA,NA,NA,NA,"昭和","56","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2018","第１四半期","改<U+88C5><U+6E08>",NA,1925,1981,37,841346.621618182
"214",638,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","13",12000000,881542.699733333,"２ＬＤＫ","45",NA,NA,NA,NA,"昭和","56","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2017","第３四半期","改<U+88C5><U+6E08>",NA,1925,1981,36,881420.148533333
"215",639,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","13",11000000,661157.0248,"２ＬＤＫ","55",NA,NA,NA,NA,"昭和","56","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2017","第１四半期","改<U+88C5><U+6E08>",NA,1925,1981,36,661034.4736
"216",640,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","6",28000000,1234159.77962667,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"準住居地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1988,2007,10,1234125.73762667
"217",641,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","15",12000000,793388.42976,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,1991,25,793303.32476
"218",642,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","13",9800000,589030.803912727,"３ＬＤＫ","55",NA,NA,NA,NA,"昭和","56","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2016","第２四半期","改<U+88C5><U+6E08>",NA,1925,1981,35,588911.656912727
"219",643,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>","壺川","16",8200000,542148.760336,NA,"50",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第１四半期","未改<U+88C5>",NA,1988,1991,25,542063.655336
"220",646,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>",NA,NA,18000000,915448.188184615,"３ＬＤＫ","65",NA,NA,NA,NA,"昭和","61","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第１四半期","改<U+88C5><U+6E08>",NA,1925,1986,33,915335.849584615
"221",650,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>",NA,NA,15000000,991735.5372,"２ＤＫ","50",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第３四半期","改<U+88C5><U+6E08>",NA,1988,1991,26,991647.028
"222",656,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","古波<U+8535>",NA,NA,12000000,793388.42976,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第２四半期","改<U+88C5><U+6E08>",NA,1988,1991,25,793303.32476
"223",660,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字識名",NA,NA,25000000,869943.45368421,"３ＬＤＫ","95",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,100,"2020","第３四半期","未改<U+88C5>",NA,1988,1991,29,869844.73188421
