"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"713",13416,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,42000000,1542699.72453333,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1542699.72453333
"714",13417,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,43000000,1579430.67035556,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1579430.67035556
"715",13418,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志","1",29000000,1474888.74763077,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,500,"2010","第４四半期","未改<U+88C5>",NA,1988,2010,0,1474888.74763077
"716",13419,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,64000000,1763085.39946667,"３ＬＤＫ","120",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1763085.39946667
"717",13420,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志","4",19000000,837465.564746667,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","10","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期","改<U+88C5><U+6E08>",NA,1988,1998,12,837424.714346667
"718",13421,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,29000000,1474888.74763077,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1474888.74763077
"719",13422,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,30000000,1416765.05314286,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1416765.05314286
"720",13423,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,30000000,1416765.05314286,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1416765.05314286
"721",13424,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,36000000,1322314.0496,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第４四半期",NA,NA,1988,2010,0,1322314.0496
"722",13426,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,29000000,1278236.91461333,"２ＬＤＫ","75",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期","未改<U+88C5>",NA,1988,2010,0,1278236.91461333
"723",13427,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,31000000,1138659.32048889,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期",NA,NA,1988,2010,0,1138659.32048889
"724",13428,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,28000000,1322314.0496,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期",NA,NA,1988,2010,0,1322314.0496
"725",13429,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,40000000,1555663.58776471,"２ＬＤＫ","85",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期",NA,NA,1988,2010,0,1555663.58776471
"726",13430,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,28000000,1322314.0496,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期",NA,NA,1988,2010,0,1322314.0496
"727",13432,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志","10",3700000,305785.12397,"２ＤＫ","40",NA,NA,NA,NA,"昭和","59","ＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2010","第２四半期",NA,NA,1925,1984,26,305696.61477
"728",13433,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,49000000,1799816.34528889,NA,"90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第２四半期",NA,NA,1988,2010,0,1799816.34528889
"729",13434,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,44000000,1616161.61617778,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第２四半期",NA,NA,1988,2010,0,1616161.61617778
"730",13436,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,26000000,1227863.04605714,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第１四半期",NA,NA,1988,2010,0,1227863.04605714
"731",13437,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","牧志",NA,48000000,1763085.39946667,"２ＬＤＫ","90",NA,NA,NA,NA,"平成","22","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第１四半期",NA,NA,1988,2010,0,1763085.39946667
"732",13438,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","美<U+6804>橋","6",23000000,950413.22315,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","14","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期","未改<U+88C5>",NA,1988,2002,8,950385.98955
"733",13440,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志","美<U+6804>橋","6",20000000,881542.699733333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","14","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第２四半期","未改<U+88C5>",NA,1988,2002,8,881515.466133333
"734",13443,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","牧志","10",7000000,578512.3967,NA,"40",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期",NA,NA,1925,1987,23,578434.1001
"735",13446,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","美<U+6804>橋","10",6800000,449586.776864,"２ＤＫ","50",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第２四半期","未改<U+88C5>",NA,1925,1985,25,449501.671864
